r**2,t * 1e9
8.47935e-14,0.482
8.50015e-14,0.483
8.52088e-14,0.484
8.54155e-14,0.485
8.56218e-14,0.486
8.58288e-14,0.487
8.60343e-14,0.488
8.62412e-14,0.489
8.64494e-14,0.49
8.66564e-14,0.491
8.68627e-14,0.492
8.70675e-14,0.493
8.72701e-14,0.494
8.74702e-14,0.495
8.76688e-14,0.496
8.78658e-14,0.497
8.80611e-14,0.498
8.82562e-14,0.499
8.84534e-14,0.5
8.86514e-14,0.501
8.88515e-14,0.502
8.90521e-14,0.503
8.92535e-14,0.504
8.94549e-14,0.505
8.96562e-14,0.506
8.98583e-14,0.507
9.00618e-14,0.508
9.02647e-14,0.509
9.04682e-14,0.51
9.06701e-14,0.511
9.08725e-14,0.512
9.10735e-14,0.513
9.12743e-14,0.514
9.14744e-14,0.515
9.16737e-14,0.516
9.18723e-14,0.517
9.20686e-14,0.518
9.22655e-14,0.519
9.24614e-14,0.52
9.26581e-14,0.521
9.28556e-14,0.522
9.30527e-14,0.523
9.32502e-14,0.524
9.34475e-14,0.525
9.3646e-14,0.526
9.38434e-14,0.527
9.40421e-14,0.528
9.42407e-14,0.529
9.44388e-14,0.53
9.46359e-14,0.531
9.48326e-14,0.532
9.50271e-14,0.533
9.52201e-14,0.534
9.54131e-14,0.535
9.5605e-14,0.536
9.57946e-14,0.537
9.59831e-14,0.538
9.61739e-14,0.539
9.63663e-14,0.54
9.65601e-14,0.541
9.67535e-14,0.542
9.69469e-14,0.543
9.71419e-14,0.544
9.7336e-14,0.545
9.75306e-14,0.546
9.77257e-14,0.547
9.79216e-14,0.548
9.81175e-14,0.549
9.83115e-14,0.55
9.85045e-14,0.551
9.86976e-14,0.552
9.88902e-14,0.553
9.90835e-14,0.554
9.92783e-14,0.555
9.94716e-14,0.556
9.96638e-14,0.557
9.9856e-14,0.558
1.00047e-13,0.559
1.00238e-13,0.56
1.00428e-13,0.561
1.00619e-13,0.562
1.0081e-13,0.563
1.01002e-13,0.564
1.01192e-13,0.565
1.01381e-13,0.566
1.01568e-13,0.567
1.01753e-13,0.568
1.01938e-13,0.569
1.02123e-13,0.57
1.02309e-13,0.571
1.02495e-13,0.572
1.02679e-13,0.573
1.02862e-13,0.574
1.03044e-13,0.575
1.03229e-13,0.576
1.03414e-13,0.577
1.03598e-13,0.578
1.03783e-13,0.579
1.03969e-13,0.58
1.04157e-13,0.581
1.04349e-13,0.582
1.04539e-13,0.583
1.04729e-13,0.584
1.04918e-13,0.585
1.05105e-13,0.586
1.05292e-13,0.587
1.05479e-13,0.588
1.05666e-13,0.589
1.05853e-13,0.59
1.06039e-13,0.591
1.06227e-13,0.592
1.06416e-13,0.593
1.06606e-13,0.594
1.06796e-13,0.595
1.06987e-13,0.596
1.07177e-13,0.597
1.07367e-13,0.598
1.07556e-13,0.599
1.07743e-13,0.6
1.0793e-13,0.601
1.08116e-13,0.602
1.08305e-13,0.603
1.08494e-13,0.604
1.08683e-13,0.605
1.08874e-13,0.606
1.09064e-13,0.607
1.09255e-13,0.608
1.09446e-13,0.609
1.09635e-13,0.61
1.09824e-13,0.611
1.10013e-13,0.612
1.10202e-13,0.613
1.10392e-13,0.614
1.10582e-13,0.615
1.10773e-13,0.616
1.10964e-13,0.617
1.11154e-13,0.618
1.11345e-13,0.619
1.11538e-13,0.62
1.1173e-13,0.621
1.11922e-13,0.622
1.12116e-13,0.623
1.12309e-13,0.624
1.12502e-13,0.625
1.12696e-13,0.626
1.1289e-13,0.627
1.13083e-13,0.628
1.13275e-13,0.629
1.13466e-13,0.63
1.13657e-13,0.631
1.13847e-13,0.632
1.14036e-13,0.633
1.14224e-13,0.634
1.14414e-13,0.635
1.14604e-13,0.636
1.14794e-13,0.637
1.14985e-13,0.638
1.15176e-13,0.639
1.15369e-13,0.64
1.15563e-13,0.641
1.15758e-13,0.642
1.15954e-13,0.643
1.16152e-13,0.644
1.16349e-13,0.645
1.16547e-13,0.646
1.16745e-13,0.647
1.16942e-13,0.648
1.17139e-13,0.649
1.17336e-13,0.65
1.17533e-13,0.651
1.17732e-13,0.652
1.17934e-13,0.653
1.18134e-13,0.654
1.18337e-13,0.655
1.18543e-13,0.656
1.18751e-13,0.657
1.18957e-13,0.658
1.19161e-13,0.659
1.19363e-13,0.66
1.19566e-13,0.661
1.19769e-13,0.662
1.19974e-13,0.663
1.20182e-13,0.664
1.2039e-13,0.665
1.20598e-13,0.666
1.20802e-13,0.667
1.21007e-13,0.668
1.21212e-13,0.669
1.21419e-13,0.67
1.21626e-13,0.671
1.21831e-13,0.672
1.22037e-13,0.673
1.22242e-13,0.674
1.22448e-13,0.675
1.22653e-13,0.676
1.22857e-13,0.677
1.2306e-13,0.678
1.23266e-13,0.679
1.23473e-13,0.68
1.23679e-13,0.681
1.23886e-13,0.682
1.24094e-13,0.683
1.24304e-13,0.684
1.24513e-13,0.685
1.24722e-13,0.686
1.24929e-13,0.687
1.25137e-13,0.688
1.25346e-13,0.689
1.25554e-13,0.69
1.2576e-13,0.691
1.25967e-13,0.692
1.26173e-13,0.693
1.26379e-13,0.694
1.26583e-13,0.695
1.26787e-13,0.696
1.2699e-13,0.697
1.27192e-13,0.698
1.27393e-13,0.699
